"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безрученко
Володимир
Олександрович","Варченко
Іван
Григорович","Кацуба
Володимир
Михайлович","Коробка
Юрій
Олексійович","Третьяк
Вікторія
Валеріївна","Дата підписання протоколу"
"630857","175","Харківська область","дитячий садок ""Теремок"" №3, ігрова кімната, 2-й поверх
пров.Шевченка, 23, смт Пісочин, Харківський р-н, Харківська обл., 62418","1664","847","1632","4","816","1","817","","0","816","1","817","38","779","87","209","329","103","51","29.10.12"
"630858","175","Харківська область","Пісочинський ВУЖКГ, каб.1
вул.Квартальна, 5/9, смт Пісочин, Харківський р-н, Харківська обл., 62418","1056","489","1060","3","565","2","567","","0","565","2","567","23","544","56","127","249","84","28","29.10.12"
"630859","175","Харківська область","дитячий садок ""Теремок"" №3, спортзал
пров.Шевченка, 23, смт Пісочин, Харківський р-н, Харківська обл., 62418","1664","837","1648","8","822","5","827","","0","822","5","827","40","787","107","198","330","103","49","29.10.12"
"630874","175","Харківська область","Веселівський клуб, актова зала
вул.Харазія, 2, с.Веселе, Харківський р-н, Харківська обл., 62420","1104","415","1094","68","631","58","689","","0","631","58","689","52","637","93","58","424","39","23","29.10.12"
"630875","175","Харківська область","Нескучанський клуб, актова зала
вул.Новоселівська, 48, с.Нескучне, Харківський р-н, Харківська обл., 62420","96","28","98","9","61","7","68","","0","61","7","68","6","62","6","14","35","3","4","29.10.12"
"630876","175","Харківська область","Вільхівська школа, спортзал, 1-й поверх
вул.Шкільна, 2, с.Вільхівка, Харківський р-н, Харківська обл., 62431","1096","442","1095","41","615","39","654","","0","615","39","654","28","626","71","73","380","79","23","29.10.12"
"630877","175","Харківська область","Сороківський будинок культури, актова зала, 1-й поверх
вул.Кузнецова, 3, с.Сороківка, Харківський р-н, Харківська обл., 62430","480","247","472","14","222","11","233","","0","222","11","233","15","218","28","22","138","26","4","29.10.12"
"630878","175","Харківська область","Глибоківська школа, актова зала, 1-й поверх
вул.Шкільна, 5, с.Глибоке, Харківський р-н, Харківська обл., 62411","1008","312","981","32","665","31","696","","0","665","31","696","9","687","28","32","575","31","21","29.10.12"
"630879","175","Харківська область","Стрілечанська школа, спортзал, 1-й поверх
вул.Молодіжна, 20, с.Стрілеча, Харківський р-н, Харківська обл., 62411","1008","292","980","33","683","33","716","","0","683","33","716","17","699","25","38","595","20","21","29.10.12"
"630881","175","Харківська область","Обласна психіатрична лікарня №1, адмінкорпус, актова зала, 3-й поверх
вул.Бєлгородська, 1, с.Стрілеча, Харківський р-н, Харківська обл., 62411","400","6","396","54","340","54","394","","0","340","54","394","7","387","15","23","311","21","17","29.10.12"
